crop,irrigation,ph,Moisture,temp
Moth,medium,6,80,25
Cotton(lint),medium,6,80,25
Water Melon,low,5.5,90,15
Barley,low,6,90,15
Jute,low,7.5,90,15
Sannhamp,low,7.5,90,15
other misc. pulses,low,6,90,15
Cucumber,medium,6.5,80,25
Small millets,low,6,90,15
Turmeric,low,6,90,15
Dry chillies,low,6,90,15
Urad,low,6,90,15
Orange,medium,6.3,80,25
Grapes,high,6.25,60,40
Citrus Fruit,medium,6.3,60,25
Niger seed,high,6.2,60,40
Beans & Mutter(Vegetable),low,6,90,15
Oilseeds total,low,6.5,90,15
Other Kharif pulses,high,6,60,40
Ginger,high,6.3,60,40
Sugarcane,high,6,60,40
Sapota,low,6.8,90,15
Other  Rabi pulses,low,6.2,90,15
Gram,medium,6.25,80,25
Tobacco,medium,6,80,25
Arhar/Tur,low,6.4,90,15
Mango,low,6.1,90,15
Pome Fruit,low,6.4,90,15
Varagu,low,6,90,15
Arecanut,medium,6.3,80,25
Castor seed,high,6.2,90,4
other oilseeds,medium,6.7,80,25
Rice,high,6,60,4
Brinjal,medium,6.8,80,25
Bajra,low,6,90,15
Potato,low,6.5,90,15
Ragi,low,6,90,15
Linseed,low,6,90,15
Jowar,low,6.8,90,15
Moong(Green Gram),medium,6.3,80,25
Other Vegetables,high,5.9,60,40
Masoor,high,6.2,60,40
Tomato,low,6.5,60,15
Safflower,low,6.23,90,15
Total foodgrain,low,6.34,90,15
Lemon,high,6,60,40
Mesta,low,6.12,90,15
Coriander,low,6,90,15
Rapeseed &Mustard,high,6.4,60,40
Maize,medium,6.25,80,25
Soyabean,medium,6,80,25
Pome Granet,low,5.8,90,15
Onion,low,6.25,90,15
Groundnut,medium,6,80,25
Papaya,low,6.25,90,15
Bottle Gourd,low,6,90,15
Korra,medium,6,80,25
Peas  (vegetable),low,6.25,90,15
Horse-gram,low,7,90,15
Bhindi,low,6.5,90,15
Cabbage,low,6.6,90,15
Other Fresh Fruits,medium,6.8,80,25
Sunflower,medium,6,80,25
Coconut ,high,7.5,60,40
Sweet potato,medium,6.5,80,25
Wheat,medium,6,80,25
other fibres,medium,7,80,25
Cashewnut,medium,6.5,80,25
Peas & beans (Pulses),low,6.6,90,15
Tapioca,medium,6.8,80,25
Dry ginger,low,6,90,15
Guar seed,low,6.5,90,15
Sesamum,low,6.5,90,15
Samai,low,6,90,15
Garlic,medium,6.45,80,25
Banana,high,6,60,40
Cowpea(Lobia),medium,6.34,80,25
